abstention_reason,branch,burst_count,capture_id,class_probability,decision_window_id,evaluation_domain,final_decision,predicted_class,true_physical_unit_id,window_duration_s
,engineered_rf,363,BLE-IQ-ac2d5dcf0501,0.945054945054945,BLE-IQ-ac2d5dcf0501-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,89,BLE-IQ-ac2d5dcf0501,1.0,BLE-IQ-ac2d5dcf0501-decision-win-00000,TRAIN,IDENTIFIED,CC2650-UNIT-01,CC2650-UNIT-01,10.0
,engineered_rf,260,BLE-IQ-adc2823f5ccc,0.9189189189189189,BLE-IQ-adc2823f5ccc-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,212,BLE-IQ-ae4ef898bdec,0.4127906976744186,BLE-IQ-ae4ef898bdec-decision-win-00000,,UNKNOWN,keyfobdemo 01,,10.0
,engineered_rf,92,BLE-IQ-ae4ef898bdec,1.0,BLE-IQ-ae4ef898bdec-decision-win-00000,TRAIN,IDENTIFIED,keyfobdemo 01,keyfobdemo 01,10.0
,engineered_rf,241,BLE-IQ-b07c0ff4f11b,0.8904109589041095,BLE-IQ-b07c0ff4f11b-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,77,BLE-IQ-b07c0ff4f11b,1.0,BLE-IQ-b07c0ff4f11b-decision-win-00000,TEST,IDENTIFIED,CC2650-UNIT-01,CC2650-UNIT-01,10.0
,engineered_rf,87,BLE-IQ-b19a317bff1a,0.62,BLE-IQ-b19a317bff1a-decision-win-00000,VALIDATION,UNKNOWN,CC2541SensorTag,CC2541SensorTag,10.0
,engineered_rf,202,BLE-IQ-b19a317bff1a,0.9365079365079364,BLE-IQ-b19a317bff1a-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,176,BLE-IQ-b19e005e4f5a,0.5925925925925926,BLE-IQ-b19e005e4f5a-decision-win-00000,,UNKNOWN,keyfobdemo 01,,10.0
,engineered_rf,120,BLE-IQ-b19e005e4f5a,0.7945945945945946,BLE-IQ-b19e005e4f5a-decision-win-00000,TEST,IDENTIFIED,CC2541SensorTag,CC2541SensorTag,10.0
,engineered_rf,529,BLE-IQ-b88942a33035,0.9456521739130435,BLE-IQ-b88942a33035-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,103,BLE-IQ-b92343bf125b,0.44329896907216493,BLE-IQ-b92343bf125b-decision-win-00000,,UNKNOWN,keyfobdemo 01,,10.0
,engineered_rf,20,BLE-IQ-b92343bf125b,0.5051546391752577,BLE-IQ-b92343bf125b-decision-win-00001,,UNKNOWN,keyfobdemo 01,,10.0
